shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,1,5,400,0.8352777777777778,0.7549134773272704,0.11462087862246807,0.16806747506410105,0.5
0.01,1,10,400,0.8674999999999999,0.8018398268398268,0.08514542147616574,0.12662538077618693,0.5
0.01,2,3,400,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,400,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,2,10,400,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,3,3,400,0.7891666666666667,0.6838054187192117,0.13013426905907258,0.1974105841527129,0.5
0.01,3,5,400,0.8016666666666666,0.7060714285714286,0.13937076898792414,0.20142354459811324,0.5
0.01,3,10,400,0.856111111111111,0.7836080586080586,0.10198476176553589,0.15471346051892848,0.5
0.01,5,3,400,0.7780555555555555,0.6671387520525451,0.11385839700215893,0.1733141831919308,0.5
0.01,5,5,400,0.7905555555555556,0.6894047619047619,0.12554544917262472,0.1801748559316824,0.5
0.01,5,10,400,0.8338888888888889,0.7557509157509157,0.13859103865154135,0.19544494498725423,0.5
0.01,1,3,440,0.8327777777777778,0.7494588744588745,0.0955257633717944,0.14328761828598038,0.5
0.01,1,5,440,0.8338888888888889,0.7502747252747253,0.10477129053140423,0.15871727312213574,0.5
0.01,1,10,440,0.866111111111111,0.7994588744588744,0.08906040551167492,0.13346793186535896,0.5
0.01,2,3,440,0.7780555555555555,0.6671387520525451,0.11385839700215893,0.1733141831919308,0.5
0.01,2,5,440,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,2,10,440,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,3,3,440,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,440,0.8016666666666666,0.7060714285714286,0.13937076898792414,0.20142354459811324,0.5
0.01,3,10,440,0.845,0.7669413919413919,0.10404869863310544,0.1577097200613931,0.5
0.01,5,3,440,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,5,5,440,0.7905555555555556,0.6894047619047619,0.12554544917262472,0.1801748559316824,0.5
0.01,5,10,440,0.845,0.7691991916129847,0.11648869435360887,0.17139326473062722,0.5
0.01,1,3,480,0.8327777777777778,0.7494588744588745,0.0955257633717944,0.14328761828598038,0.5
0.01,1,5,480,0.8227777777777777,0.7358658582796513,0.11660639242536475,0.1719396569599081,0.5
0.01,1,10,480,0.855,0.7827922077922078,0.09275726098274234,0.1390570279642527,0.5
0.01,2,3,480,0.7780555555555555,0.6671387520525451,0.11385839700215893,0.1733141831919308,0.5
0.01,2,5,480,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,2,10,480,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,3,3,480,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,480,0.8016666666666666,0.7060714285714286,0.13937076898792414,0.20142354459811324,0.5
0.01,3,10,480,0.845,0.7669413919413919,0.10404869863310544,0.1577097200613931,0.5
0.01,5,3,480,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,5,5,480,0.7905555555555556,0.6894047619047619,0.12554544917262472,0.1801748559316824,0.5
0.01,5,10,480,0.845,0.7691991916129847,0.11648869435360887,0.17139326473062722,0.5
0.01,1,3,520,0.8327777777777778,0.7494588744588745,0.0955257633717944,0.14328761828598038,0.5
0.01,1,5,520,0.8102777777777778,0.7168182392320323,0.1310769075494603,0.19528453836446938,0.5
0.01,1,10,520,0.855,0.7827922077922078,0.09275726098274234,0.1390570279642527,0.5
0.01,2,3,520,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,520,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,2,10,520,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,3,3,520,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,520,0.8238888888888889,0.7361863711001642,0.12227972833463124,0.18453536566850756,0.5
0.01,3,10,520,0.8325,0.7501515725653656,0.13330793225122575,0.1983920140228028,0.5
0.01,5,3,520,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,5,5,520,0.7905555555555556,0.6894047619047619,0.12554544917262472,0.1801748559316824,0.5
0.01,5,10,520,0.845,0.7691991916129847,0.11648869435360887,0.17139326473062722,0.5
0.01,1,3,560,0.8216666666666667,0.7350500074638006,0.10824862151711981,0.1577253660647129,0.5
0.01,1,5,560,0.8202777777777778,0.7326690550828482,0.12542144317770845,0.18538093711384154,0.5
0.01,1,10,560,0.8438888888888889,0.7649350649350649,0.10837526886982246,0.16328312142909573,0.5
0.01,2,3,560,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,560,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,2,10,560,0.8227777777777777,0.7358658582796513,0.10418045176275852,0.1529392236455973,0.5
0.01,3,3,560,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,560,0.8238888888888889,0.7361863711001642,0.12227972833463124,0.18453536566850756,0.5
0.01,3,10,560,0.845,0.7669413919413919,0.08990354532651697,0.13674617470214712,0.5
0.01,5,3,560,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,5,5,560,0.7905555555555556,0.6894047619047619,0.12554544917262472,0.1801748559316824,0.5
0.01,5,10,560,0.845,0.7691991916129847,0.11648869435360887,0.17139326473062722,0.5
0.01,1,3,600,0.8091666666666667,0.7160023884161815,0.1235759070413703,0.18279924239753848,0.5
0.01,1,5,600,0.8202777777777778,0.7326690550828482,0.12542144317770845,0.18538093711384154,0.5
0.01,1,10,600,0.8313888888888888,0.7458874458874458,0.12615753482834202,0.19095713037777567,0.5
0.01,2,3,600,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,600,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,2,10,600,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,600,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,600,0.8238888888888889,0.7361863711001642,0.12227972833463124,0.18453536566850756,0.5
0.01,3,10,600,0.8338888888888889,0.752532524946318,0.10477129053140423,0.15364000417987714,0.5
0.01,5,3,600,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,5,5,600,0.8127777777777777,0.7195197044334976,0.12075579319941901,0.18229932342694544,0.5
0.01,5,10,600,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,1,3,640,0.8091666666666667,0.7160023884161815,0.1235759070413703,0.18279924239753848,0.5
0.01,1,5,640,0.8202777777777778,0.7326690550828482,0.12542144317770845,0.18538093711384154,0.5
0.01,1,10,640,0.8202777777777778,0.7316017316017316,0.14566230417891432,0.2152008193101015,0.5
0.01,2,3,640,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,640,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,2,10,640,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,640,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,640,0.8238888888888889,0.7361863711001642,0.12227972833463124,0.18453536566850756,0.5
0.01,3,10,640,0.8213888888888888,0.733484905898699,0.12194166733810129,0.18133814696654355,0.5
0.01,5,3,640,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,5,5,640,0.8016666666666666,0.7028530377668308,0.10580056036424476,0.1600708030986419,0.5
0.01,5,10,640,0.845,0.7691991916129847,0.11648869435360887,0.17139326473062722,0.5
0.01,1,3,680,0.8091666666666667,0.7160023884161815,0.1235759070413703,0.18279924239753848,0.5
0.01,1,5,680,0.8202777777777778,0.7326690550828482,0.12542144317770845,0.18538093711384154,0.5
0.01,1,10,680,0.8202777777777778,0.7316017316017316,0.14566230417891432,0.2152008193101015,0.5
0.01,2,3,680,0.8016666666666666,0.7028530377668308,0.10580056036424476,0.1600708030986419,0.5
0.01,2,5,680,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,2,10,680,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,680,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,680,0.8127777777777777,0.7195197044334976,0.12075579319941901,0.18229932342694544,0.5
0.01,3,10,680,0.8213888888888888,0.733484905898699,0.12194166733810129,0.18133814696654355,0.5
0.01,5,3,680,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,5,5,680,0.8016666666666666,0.7028530377668308,0.10580056036424476,0.1600708030986419,0.5
0.01,5,10,680,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,1,3,720,0.8091666666666667,0.7160023884161815,0.1235759070413703,0.18279924239753848,0.5
0.01,1,5,720,0.8202777777777778,0.7326690550828482,0.12542144317770845,0.18538093711384154,0.5
0.01,1,10,720,0.8202777777777778,0.7316017316017316,0.14566230417891432,0.2152008193101015,0.5
0.01,2,3,720,0.8016666666666666,0.7028530377668308,0.10580056036424476,0.1600708030986419,0.5
0.01,2,5,720,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,2,10,720,0.8213888888888888,0.733484905898699,0.13271493683139762,0.19762682776240828,0.5
0.01,3,3,720,0.8113888888888888,0.7171387520525451,0.14598214042258523,0.2209355395982028,0.5
0.01,3,5,720,0.8127777777777777,0.7195197044334976,0.12075579319941901,0.18229932342694544,0.5
0.01,3,10,720,0.8338888888888889,0.752532524946318,0.10477129053140423,0.15364000417987714,0.5
0.01,5,3,720,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,5,5,720,0.8016666666666666,0.7028530377668308,0.10580056036424476,0.1600708030986419,0.5
0.01,5,10,720,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,1,3,760,0.8091666666666667,0.7160023884161815,0.1235759070413703,0.18279924239753848,0.5
0.01,1,5,760,0.8202777777777778,0.7326690550828482,0.12542144317770845,0.18538093711384154,0.5
0.01,1,10,760,0.8202777777777778,0.7316017316017316,0.14566230417891432,0.2152008193101015,0.5
0.01,2,3,760,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,760,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,2,10,760,0.8213888888888888,0.733484905898699,0.13271493683139762,0.19762682776240828,0.5
0.01,3,3,760,0.8113888888888888,0.7171387520525451,0.14598214042258523,0.2209355395982028,0.5
0.01,3,5,760,0.8238888888888889,0.7361863711001642,0.12227972833463124,0.18453536566850756,0.5
0.01,3,10,760,0.8338888888888889,0.752532524946318,0.10477129053140423,0.15364000417987714,0.5
0.01,5,3,760,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,5,5,760,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.5
0.01,5,10,760,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,1,3,800,0.8091666666666667,0.7160023884161815,0.1235759070413703,0.18279924239753848,0.5
0.01,1,5,800,0.8202777777777778,0.7326690550828482,0.12542144317770845,0.18538093711384154,0.5
0.01,1,10,800,0.8202777777777778,0.7316017316017316,0.14566230417891432,0.2152008193101015,0.5
0.01,2,3,800,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,800,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,2,10,800,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,800,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,800,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,3,10,800,0.845,0.7691991916129847,0.11648869435360887,0.17139326473062722,0.5
0.01,5,3,800,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
